region_name,date,temp_min_anomaly,temp_min_anomaly_threshold,night,night_intensity
保山市,2023-6-1,0.5597350499180109,0.0904848559662873,1,0.4692501939517236
昭通市,2023-6-1,-0.403597649,0.5974274498487077,0,0
丽江市,2023-6-1,1.7798310813109754,0.482120199687251,1,1.2977108816237244
普洱市,2023-6-1,2.2672055340902126,0.7471235631185071,1,1.5200819709717055
临沧市,2023-6-1,1.09874034842856,0.7076049305501719,1,0.3911354178783881
楚雄彝族自治州,2023-6-1,3.4866979368791817,0.9936304768671352,1,2.4930674600120466
红河哈尼族彝族自治州,2023-6-1,2.650166714200811,0.7498481904422858,1,1.9003185237585252
文山壮族苗族自治州,2023-6-1,2.85686353626739,0.9110287681525708,1,1.9458347681148194
西双版纳傣族自治州,2023-6-1,2.5899867726729475,0.9233314443581884,1,1.6666553283147592
大理白族自治州,2023-6-1,0.326151660765138,0.2802138364254976,1,0.04593782433964044
德宏傣族景颇族自治州,2023-6-1,0.6302401509556823,0.3605786889461437,1,0.2696614620095386
怒江傈僳族自治州,2023-6-1,-0.95647535,-0.34591062,0,0
迪庆藏族自治州,2023-6-1,-1.094524025,-0.43848601,0,0
西安市,2023-6-1,-3.226213714,-0.590619599,0,0
铜川市,2023-6-1,-3.229034731,0.0758805442413078,0,0
宝鸡市,2023-6-1,-3.261376371,-0.740984739,0,0
咸阳市,2023-6-1,-3.174050386,-0.138231879,0,0
渭南市,2023-6-1,-3.320494754,0.0862720707146607,0,0
延安市,2023-6-1,-3.328680317,-0.248719616,0,0
汉中市,2023-6-1,-2.705839697,-0.644068255,0,0
榆林市,2023-6-1,-6.548580286,0.0682788877980076,0,0
安康市,2023-6-1,-2.196348324,-0.765519737,0,0
商洛市,2023-6-1,-3.124557517,-0.502734805,0,0
兰州市,2023-6-1,-3.470007482,-0.294246343,0,0
嘉峪关市,2023-6-1,-3.812476968,0.2030141266805605,0,0
金昌市,2023-6-1,-1.641518956,0.0696999929281532,0,0
白银市,2023-6-1,-3.321742742,-0.190087196,0,0
天水市,2023-6-1,-3.48619432,-0.81287391,0,0
武威市,2023-6-1,-2.783863355,0.0873152153169197,0,0
张掖市,2023-6-1,-2.100688032,-0.578657512,0,0
平凉市,2023-6-1,-3.11839268,-0.595206317,0,0
酒泉市,2023-6-1,-4.366247072,-0.108997288,0,0
庆阳市,2023-6-1,-2.457630792,-0.3725173,0,0
定西市,2023-6-1,-3.271989141,-0.562046182,0,0
陇南市,2023-6-1,-3.232209711,-0.791757043,0,0
临夏回族自治州,2023-6-1,-3.526191775,-0.4497092,0,0
甘南藏族自治州,2023-6-1,-2.305280769,-0.354935166,0,0
西宁市,2023-6-1,-2.884521232,-0.626372967,0,0
海东市,2023-6-1,-4.062501436,-0.433969869,0,0
海北藏族自治州,2023-6-1,-1.576305166,-1.213393258,0,0
黄南藏族自治州,2023-6-1,-1.911265476,-0.558817552,0,0
海南藏族自治州,2023-6-1,-1.409497263,-0.852252015,0,0
果洛藏族自治州,2023-6-1,1.2482370658591229,-0.398407859,1,1.6466449249427852
玉树藏族自治州,2023-6-1,-2.111851563,-1.415878085,0,0
海西蒙古族藏族自治州,2023-6-1,-2.824022512,-1.120386133,0,0
阿拉尔市,2023-6-1,-2.779877876,0.5888909888680147,0,0
北屯市,2023-6-1,-6.926380866,0.6585130394245001,0,0
胡杨河市,2023-6-1,-4.646718421,0.399670711781983,0,0
可克达拉市,2023-6-1,-1.997329989,0.6749747807886775,0,0
昆玉市,2023-6-1,-1.758025022,0.061045574785249,0,0
石河子市,2023-6-1,-5.919186399,0.1780212547570046,0,0
双河市,2023-6-1,-4.018639262,0.5228572866316586,0,0
图木舒克市,2023-6-1,-1.552586116,-0.016994009,0,0
五家渠市,2023-6-1,-5.245305625,0.6943986160647461,0,0
铁门关市,2023-6-1,-3.846409206,0.0591479416893555,0,0
新星市,2023-6-1,-5.732447672,0.8145596946830318,0,0
白杨市,2023-6-1,-5.905123589,0.3421243127748247,0,0
呼和浩特市,2023-6-1,-6.767005692,0.4593142254121559,0,0
包头市,2023-6-1,-7.689306166,0.9125482124754188,0,0
乌海市,2023-6-1,-8.832597827,0.4507919290994761,0,0
赤峰市,2023-6-1,-6.629709707,0.1321313894930004,0,0
通辽市,2023-6-1,-5.821693827,-0.09954046,0,0
鄂尔多斯市,2023-6-1,-7.632258552,0.6579951023422752,0,0
呼伦贝尔市,2023-6-1,-6.565235848,-0.77456637,0,0
巴彦淖尔市,2023-6-1,-7.915519609,0.7808394791659001,0,0
乌兰察布市,2023-6-1,-7.310271164,0.4586512380652758,0,0
兴安盟,2023-6-1,-6.707530889,-0.532869782,0,0
锡林郭勒盟,2023-6-1,-7.591294974,0.0236782828228017,0,0
阿拉善盟,2023-6-1,-5.813102211,0.305010367886331,0,0
南宁市,2023-6-1,1.671771287215627,0.3938854089443257,1,1.2778858782713012
柳州市,2023-6-1,1.292337052065065,0.0963389866058248,1,1.1959980654592401
桂林市,2023-6-1,0.940534118076723,-0.022571408,1,0.96310552621223
梧州市,2023-6-1,1.452667533407201,-0.012890978,1,1.4655585112629212
北海市,2023-6-1,1.6054312269035869,0.7047764424353637,1,0.9006547844682231
防城港市,2023-6-1,1.5915928187876531,0.7795473443630055,1,0.8120454744246476
钦州市,2023-6-1,1.519038486677502,0.761733636867129,1,0.7573048498103729
贵港市,2023-6-1,1.3602172350018584,0.1603345285168735,1,1.1998827064849849
玉林市,2023-6-1,1.1917055292132233,0.3728762508420463,1,0.818829278371177
百色市,2023-6-1,1.7047125661586475,0.6931605582047575,1,1.01155200795389
贺州市,2023-6-1,0.8774036809870651,-0.076207351,1,0.9536110314979558
河池市,2023-6-1,1.4913447664635946,0.3015110443361742,1,1.1898337221274204
来宾市,2023-6-1,1.1711378000113122,0.2012827885222777,1,0.9698550114890345
崇左市,2023-6-1,2.541520147742311,0.619611826084826,1,1.921908321657485
拉萨市,2023-6-1,-3.111595967,-1.275997143,0,0
日喀则市,2023-6-1,-4.750344638,-1.888290678,0,0
昌都市,2023-6-1,-1.638036768,-1.311445174,0,0
林芝市,2023-6-1,-2.388082274,-1.268830717,0,0
山南市,2023-6-1,-1.97671047,-0.902383895,0,0
那曲市,2023-6-1,-4.279001134,-2.221753689,0,0
阿里地区,2023-6-1,-5.98874263,-2.766506231,0,0
银川市,2023-6-1,-5.665766126,0.3296247750780373,0,0
石嘴山市,2023-6-1,-6.152079635,0.2578627053970476,0,0
吴忠市,2023-6-1,-4.142522623,0.0832680818292768,0,0
固原市,2023-6-1,-2.536373745,-0.679120671,0,0
中卫市,2023-6-1,-2.598297781,-0.084471696,0,0
乌鲁木齐市,2023-6-1,-6.28067689,0.459840536600176,0,0
克拉玛依市,2023-6-1,-5.669579104,0.9262288170163084,0,0
吐鲁番市,2023-6-1,-4.521225212,0.7963622808758158,0,0
哈密市,2023-6-1,-6.04845256,0.7784146010682006,0,0
昌吉回族自治州,2023-6-1,-5.837323655,0.8801811603968737,0,0
博尔塔拉蒙古自治州,2023-6-1,-3.779413739,0.1370542819928092,0,0
巴音郭楞蒙古自治州,2023-6-1,-3.956320681,-0.413039604,0,0
阿克苏地区,2023-6-1,-1.446626723,0.2127675962291698,0,0
克孜勒苏柯尔克孜自治州,2023-6-1,-2.758218702,-1.651787174,0,0
喀什地区,2023-6-1,-1.57381077,-1.547998385,0,0
和田地区,2023-6-1,-2.960176186,-1.654650211,0,0
伊犁哈萨克自治州,2023-6-1,-2.580825634,-0.204772783,0,0
塔城地区,2023-6-1,-5.834227493,0.4459091755890877,0,0
阿勒泰地区,2023-6-1,-6.192097499,0.5046046633675186,0,0
澳门特别行政区,2023-6-2,,,0,0
香港特别行政区,2023-6-2,1.2087828866753263,0.2865697874941986,1,0.9222130991811277
北京市,2023-6-2,-5.258929157,-0.102239297,0,0
上海市,2023-6-2,-3.129999718,-2.3629693,0,0
天津市,2023-6-2,-3.00272604,0.2738960560927764,0,0
重庆市,2023-6-2,-2.236563367,-0.633590063,0,0
白沙黎族自治县,2023-6-2,0.5081196336696152,1.3140706898179555,0,0
保亭黎族苗族自治县,2023-6-2,0.8279287373526607,0.9043718162180796,0,0
昌江黎族自治县,2023-6-2,0.8157330589901584,1.688329307452132,0,0
澄迈县,2023-6-2,1.370935028739602,1.1614438108737857,1,0.20949121786581637
定安县,2023-6-2,1.04030684172605,1.254750418561637,0,0
东方市,2023-6-2,1.1065831172470553,1.613985146324798,0,0
济源市,2023-6-2,-5.608583523,0.3448018386908354,0,0
乐东黎族自治县,2023-6-2,1.129594279027767,1.0455520358135784,1,0.08404224321418874
临高县,2023-6-2,1.7553262349389094,1.0440963507962986,1,0.7112298841426108
陵水黎族自治县,2023-6-2,0.3647626335687839,1.0125214367646358,0,0
潜江市,2023-6-2,-3.81235888,-0.520222092,0,0
琼海市,2023-6-2,0.8448454683698401,1.1633424058459128,0,0
琼中黎族苗族自治县,2023-6-2,0.4489778273779379,1.1116715366121146,0,0
神农架林区,2023-6-2,-3.572216124,-0.704648127,0,0
台湾省,2023-6-2,0.905593598977191,0.0790099577686672,1,0.8265836412085239
天门市,2023-6-2,-4.481759078,-0.380192429,0,0
屯昌县,2023-6-2,0.6961411255245409,1.216382610385684,0,0
万宁市,2023-6-2,0.7312694796247499,1.0741621478398278,0,0
文昌市,2023-6-2,1.6198254666764136,1.025839165746648,1,0.5939863009297657
五指山市,2023-6-2,1.087708543462913,0.8664191736261705,1,0.22128936983674252
仙桃市,2023-6-2,-3.843182184,-0.533235536,0,0
石家庄市,2023-6-2,-5.958214517,-0.010705103,0,0
唐山市,2023-6-2,-3.212388268,-0.690233499,0,0
秦皇岛市,2023-6-2,-4.82716089,-1.139198491,0,0
邯郸市,2023-6-2,-6.40347314,-0.092663319,0,0
邢台市,2023-6-2,-5.822424048,0.0249182317992687,0,0
保定市,2023-6-2,-5.335243027,0.1188434618349768,0,0
张家口市,2023-6-2,-5.57930176,-0.060213116,0,0
承德市,2023-6-2,-6.306517252,-0.525172281,0,0
沧州市,2023-6-2,-4.206531772,0.6434116937064658,0,0
廊坊市,2023-6-2,-3.358286636,0.8175445805081575,0,0
衡水市,2023-6-2,-4.841946355,0.7795975166416155,0,0
太原市,2023-6-2,-3.671734045,-0.204781911,0,0
大同市,2023-6-2,-4.896060843,-0.414647607,0,0
阳泉市,2023-6-2,-5.821200109,-0.362968348,0,0
长治市,2023-6-2,-5.220456841,-0.521755651,0,0
