region_name,date,temp_mean_anomaly,temp_mean_anomaly_threshold,day,day_intensity
河源市,2023-6-1,1.9317890072439496,0.327559433900673,1,1.6042295733432765
阳江市,2023-6-1,2.032877691741369,0.6061838953323336,1,1.4266937964090354
清远市,2023-6-1,1.4777897395015849,0.1075658509852226,1,1.3702238885163622
东莞市,2023-6-1,1.9888230802309157,0.3774843546019724,1,1.6113387256289433
中山市,2023-6-1,1.7984103405740228,0.4625938795944983,1,1.3358164609795244
潮州市,2023-6-1,1.6011662521076673,0.2052581418547845,1,1.3959081102528828
揭阳市,2023-6-1,1.6748392449903662,0.3281799086439638,1,1.3466593363464023
云浮市,2023-6-1,1.82655601866934,0.3128684518169718,1,1.5136875668523682
三沙市,2023-6-1,,,0,0
海口市,2023-6-1,2.52020811894452,1.2329604415148574,1,1.2872476774296624
三亚市,2023-6-1,2.023936680177957,1.229771610088748,1,0.7941650700892091
儋州市,2023-6-1,2.416236585132282,1.5146220369492296,1,0.9016145481830522
成都市,2023-6-1,-2.412266887,0.9445095491452604,0,0
自贡市,2023-6-1,-2.748481384,0.764080298945045,0,0
攀枝花市,2023-6-1,8.68094524586921,3.453982253306928,1,5.2269629925622825
泸州市,2023-6-1,-2.439697614,0.3431054633755313,0,0
德阳市,2023-6-1,-2.776562789,0.9188581605488244,0,0
绵阳市,2023-6-1,-2.922717985,0.2049293496232653,0,0
广元市,2023-6-1,-4.141517588,0.2964970373465027,0,0
遂宁市,2023-6-1,-4.341498184,0.445912368562684,0,0
内江市,2023-6-1,-3.479003204,0.6832625488681889,0,0
乐山市,2023-6-1,-2.318656238,0.4674796577668392,0,0
南充市,2023-6-1,-3.724388575,0.1028400636240033,0,0
眉山市,2023-6-1,-2.319647383,0.8144973030868781,0,0
宜宾市,2023-6-1,-2.404728054,0.744986825598237,0,0
广安市,2023-6-1,-3.084732494,-0.166116814,0,0
达州市,2023-6-1,-2.394394423,-0.267325625,0,0
雅安市,2023-6-1,-1.604298909,-0.012921651,0,0
巴中市,2023-6-1,-3.457037773,0.0009277950831397,0,0
资阳市,2023-6-1,-4.018929266,0.6140380229144641,0,0
阿坝藏族羌族自治州,2023-6-1,0.598284422709952,-0.214097429,1,0.8123818520925873
甘孜藏族自治州,2023-6-1,3.146992503895685,0.0811714188875082,1,3.065821085008177
凉山彝族自治州,2023-6-1,4.605844735294237,1.2126993200104956,1,3.3931454152837417
贵阳市,2023-6-1,0.256594620857026,0.5013242917534496,0,0
六盘水市,2023-6-1,2.3176114694877725,1.0509248518847734,1,1.2666866176029992
遵义市,2023-6-1,-1.745484771,0.1368995558059525,0,0
安顺市,2023-6-1,2.6439448491733977,0.7485866496820521,1,1.8953581994913455
毕节市,2023-6-1,0.3720072021441254,0.7578576312353391,0,0
