region_name,date,temp_mean_mean30
渭南市,06-01_to_08-31,24.619136124223232
湖州市,06-01_to_08-31,26.305799579592694
湘潭市,06-01_to_08-31,27.57336903630074
湘西土家族苗族自治州,06-01_to_08-31,24.57067186936815
湛江市,06-01_to_08-31,28.06101501317851
滁州市,06-01_to_08-31,26.21079677897949
滨州市,06-01_to_08-31,26.027508050411296
漯河市,06-01_to_08-31,26.43153850472192
漳州市,06-01_to_08-31,25.56589664519784
潍坊市,06-01_to_08-31,24.897401637237298
潜江市,06-01_to_08-31,26.98995186502386
潮州市,06-01_to_08-31,25.99572689298981
澄迈县,06-01_to_08-31,27.804333420636432
濮阳市,06-01_to_08-31,26.432849245002522
烟台市,06-01_to_08-31,23.97519667036213
焦作市,06-01_to_08-31,25.314408942196966
牡丹江市,06-01_to_08-31,18.65301903615142
玉林市,06-01_to_08-31,26.717807444091
玉树藏族自治州,06-01_to_08-31,4.495202719321646
玉溪市,06-01_to_08-31,20.20312936261634
珠海市,06-01_to_08-31,27.716639153689417
琼中黎族苗族自治县,06-01_to_08-31,26.0855817145907
琼海市,06-01_to_08-31,27.9331501903416
甘南藏族自治州,06-01_to_08-31,10.229069220611406
甘孜藏族自治州,06-01_to_08-31,8.262683334906031
白城市,06-01_to_08-31,22.49290527512634
白山市,06-01_to_08-31,18.216468368998246
白杨市,06-01_to_08-31,17.387138757935084
白沙黎族自治县,06-01_to_08-31,26.230392282389023
白银市,06-01_to_08-31,19.264664514981483
百色市,06-01_to_08-31,24.253321018843245
益阳市,06-01_to_08-31,26.478359442574213
盐城市,06-01_to_08-31,25.474800621800817
盘锦市,06-01_to_08-31,23.53785518036041
眉山市,06-01_to_08-31,23.852902749067805
石嘴山市,06-01_to_08-31,22.698630743745014
石家庄市,06-01_to_08-31,25.03880074062139
石河子市,06-01_to_08-31,24.099778295782706
神农架林区,06-01_to_08-31,19.275564492367305
福州市,06-01_to_08-31,25.405081550901027
秦皇岛市,06-01_to_08-31,23.03914735474841
红河哈尼族彝族自治州,06-01_to_08-31,20.76597315781303
绍兴市,06-01_to_08-31,26.314738090398254
绥化市,06-01_to_08-31,20.69538865834754
绵阳市,06-01_to_08-31,21.020192792340897
聊城市,06-01_to_08-31,26.346715435126157
肇庆市,06-01_to_08-31,26.481592941655283
胡杨河市,06-01_to_08-31,26.879914379708584
自贡市,06-01_to_08-31,25.785645391705657
舟山市,06-01_to_08-31,25.543750276581918
芜湖市,06-01_to_08-31,26.836941421753846
苏州市,06-01_to_08-31,26.754434586228054
茂名市,06-01_to_08-31,26.619460335295905
荆州市,06-01_to_08-31,27.185016952364023
荆门市,06-01_to_08-31,26.46852364590689
莆田市,06-01_to_08-31,25.282383984387828
菏泽市,06-01_to_08-31,26.296234378571246
萍乡市,06-01_to_08-31,26.44261287601962
营口市,06-01_to_08-31,22.54863828574996
葫芦岛市,06-01_to_08-31,22.856544305643492
蚌埠市,06-01_to_08-31,26.421958710697332
衡水市,06-01_to_08-31,26.349764351775118
衡阳市,06-01_to_08-31,27.758055070455043
衢州市,06-01_to_08-31,26.08655103028117
襄阳市,06-01_to_08-31,25.0820604365476
西双版纳傣族自治州,06-01_to_08-31,22.312344810842816
西宁市,06-01_to_08-31,11.155529435663105
西安市,06-01_to_08-31,22.27980707689551
许昌市,06-01_to_08-31,26.14569344749044
贵港市,06-01_to_08-31,26.950045406996427
贵阳市,06-01_to_08-31,21.86814563455915
贺州市,06-01_to_08-31,25.563144846036145
资阳市,06-01_to_08-31,25.615138332835848
赣州市,06-01_to_08-31,26.224913674699405
赤峰市,06-01_to_08-31,19.85598065987648
辽源市,06-01_to_08-31,20.955641366239327
辽阳市,06-01_to_08-31,22.4244504244093
达州市,06-01_to_08-31,24.219352866135406
运城市,06-01_to_08-31,24.323238764189206
连云港市,06-01_to_08-31,25.371206000443646
迪庆藏族自治州,06-01_to_08-31,12.130445760525552
通化市,06-01_to_08-31,19.934692890914754
通辽市,06-01_to_08-31,22.171233476443224
遂宁市,06-01_to_08-31,25.800563174021555
遵义市,06-01_to_08-31,22.716476258037414
邢台市,06-01_to_08-31,25.765762753847763
那曲市,06-01_to_08-31,5.100305877247743
邯郸市,06-01_to_08-31,25.4856309782216
邵阳市,06-01_to_08-31,25.113383574505534
郑州市,06-01_to_08-31,25.693030370344736
郴州市,06-01_to_08-31,25.772564911830713
鄂尔多斯市,06-01_to_08-31,21.659422597765595
鄂州市,06-01_to_08-31,27.58244034196958
酒泉市,06-01_to_08-31,19.122021610884556
重庆市,06-01_to_08-31,24.038069838544097
金华市,06-01_to_08-31,26.078686808553822
金昌市,06-01_to_08-31,18.770237717948767
钦州市,06-01_to_08-31,27.242125422058148
铁岭市,06-01_to_08-31,22.023212938196806
铁门关市,06-01_to_08-31,25.999784002801487
铜仁市,06-01_to_08-31,23.673355478651978
铜川市,06-01_to_08-31,21.7451675274851
铜陵市,06-01_to_08-31,26.9414955586235
银川市,06-01_to_08-31,22.64373996447656
锡林郭勒盟,06-01_to_08-31,19.257255529712367
锦州市,06-01_to_08-31,23.184600772633555
镇江市,06-01_to_08-31,26.354934602337554
长春市,06-01_to_08-31,21.605428886963754
长沙市,06-01_to_08-31,27.132543443370704
长治市,06-01_to_08-31,20.548582388195772
阜新市,06-01_to_08-31,22.63125694639342
阜阳市,06-01_to_08-31,26.46586717420026
防城港市,06-01_to_08-31,26.528807112524046
阳江市,06-01_to_08-31,26.664517039643556
阳泉市,06-01_to_08-31,20.857520537259468
阿克苏地区,06-01_to_08-31,22.65660812684002
阿勒泰地区,06-01_to_08-31,19.10147161790771
阿坝藏族羌族自治州,06-01_to_08-31,9.821524860852245
阿拉善盟,06-01_to_08-31,24.51014908249302
阿拉尔市,06-01_to_08-31,26.9550908547588
阿里地区,06-01_to_08-31,4.900641185275251
陇南市,06-01_to_08-31,17.943650835799023
陵水黎族自治县,06-01_to_08-31,26.73265352941125
随州市,06-01_to_08-31,25.87908529818873
雅安市,06-01_to_08-31,16.418495337377053
青岛市,06-01_to_08-31,24.300452635002344
鞍山市,06-01_to_08-31,22.22757595943009
韶关市,06-01_to_08-31,25.536628203058495
香港特别行政区,06-01_to_08-31,27.131386020606733
马鞍山市,06-01_to_08-31,26.679384516427184
驻马店市,06-01_to_08-31,26.14268393718345
鸡西市,06-01_to_08-31,20.0464963671622
鹤壁市,06-01_to_08-31,26.026330545681894
鹤岗市,06-01_to_08-31,19.705340964896937
鹰潭市,06-01_to_08-31,27.39357340690673
黄冈市,06-01_to_08-31,26.323842508946047
黄南藏族自治州,06-01_to_08-31,8.94805567975994
黄山市,06-01_to_08-31,25.461655618360002
黄石市,06-01_to_08-31,27.133236410382622
黑河市,06-01_to_08-31,18.90961089380762
黔东南苗族侗族自治州,06-01_to_08-31,23.610013478760127
黔南布依族苗族自治州,06-01_to_08-31,22.578678654619964
黔西南布依族苗族自治州,06-01_to_08-31,22.384179577608602
齐齐哈尔市,06-01_to_08-31,20.98464986074603
龙岩市,06-01_to_08-31,24.75706959599531
