region_name,date,temp_min_mean30
永州市,06-01_to_08-31,23.031041864890923
汉中市,06-01_to_08-31,17.535324098908042
汕头市,06-01_to_08-31,24.965547339296606
汕尾市,06-01_to_08-31,24.475841428354972
江门市,06-01_to_08-31,25.156896845669543
池州市,06-01_to_08-31,23.27859704109137
沈阳市,06-01_to_08-31,18.94644129840741
沧州市,06-01_to_08-31,21.812536864393913
河池市,06-01_to_08-31,22.19449133296171
河源市,06-01_to_08-31,23.237706992139216
泉州市,06-01_to_08-31,22.33804557439608
泰安市,06-01_to_08-31,21.082851444712674
泰州市,06-01_to_08-31,22.792791396114247
泸州市,06-01_to_08-31,20.821997724539212
洛阳市,06-01_to_08-31,19.57637258531623
济南市,06-01_to_08-31,21.165098550325176
济宁市,06-01_to_08-31,22.016849215223804
济源市,06-01_to_08-31,20.078918320269857
海东市,06-01_to_08-31,9.094218173725055
海北藏族自治州,06-01_to_08-31,1.9285758909160884
海南藏族自治州,06-01_to_08-31,4.836241388655563
海口市,06-01_to_08-31,25.821117825866292
海西蒙古族藏族自治州,06-01_to_08-31,3.1360609973911835
淄博市,06-01_to_08-31,20.58689290892072
淮北市,06-01_to_08-31,22.533545024372916
淮南市,06-01_to_08-31,23.297980522107405
淮安市,06-01_to_08-31,22.979171616046152
深圳市,06-01_to_08-31,25.413080694186938
清远市,06-01_to_08-31,23.156889017473997
温州市,06-01_to_08-31,22.520476690375126
渭南市,06-01_to_08-31,20.01196968585715
湖州市,06-01_to_08-31,23.149700373011978
湘潭市,06-01_to_08-31,24.452928458077643
湘西土家族苗族自治州,06-01_to_08-31,21.485047632712146
湛江市,06-01_to_08-31,25.92153578310893
滁州市,06-01_to_08-31,23.022457896329584
滨州市,06-01_to_08-31,21.810133458377923
漯河市,06-01_to_08-31,22.48373233272378
漳州市,06-01_to_08-31,23.054544393230778
潍坊市,06-01_to_08-31,21.06003790376007
潜江市,06-01_to_08-31,23.855035141910417
潮州市,06-01_to_08-31,23.709513656405555
澄迈县,06-01_to_08-31,25.094718202494587
濮阳市,06-01_to_08-31,22.262865775224277
烟台市,06-01_to_08-31,20.633119979818026
焦作市,06-01_to_08-31,20.982398234512406
牡丹江市,06-01_to_08-31,14.477894601949858
玉林市,06-01_to_08-31,24.244038833586387
玉树藏族自治州,06-01_to_08-31,-1.452530498575015
玉溪市,06-01_to_08-31,17.267367349979796
珠海市,06-01_to_08-31,26.261901791319968
琼中黎族苗族自治县,06-01_to_08-31,23.506620502982422
琼海市,06-01_to_08-31,25.83663637171149
甘南藏族自治州,06-01_to_08-31,5.322105889843739
甘孜藏族自治州,06-01_to_08-31,3.78498613979333
白城市,06-01_to_08-31,17.861177871499084
白山市,06-01_to_08-31,14.236540598053795
白杨市,06-01_to_08-31,11.055555297415046
白沙黎族自治县,06-01_to_08-31,23.586403090285383
白银市,06-01_to_08-31,13.65989257808838
百色市,06-01_to_08-31,21.45304184250607
益阳市,06-01_to_08-31,23.486422906419467
盐城市,06-01_to_08-31,22.487467319609696
盘锦市,06-01_to_08-31,19.932084917944223
眉山市,06-01_to_08-31,20.788248334735325
石嘴山市,06-01_to_08-31,16.912850821772043
石家庄市,06-01_to_08-31,20.358207494298878
石河子市,06-01_to_08-31,17.053334038764504
神农架林区,06-01_to_08-31,16.146493883300014
福州市,06-01_to_08-31,22.81206488396759
秦皇岛市,06-01_to_08-31,19.04914722681984
红河哈尼族彝族自治州,06-01_to_08-31,17.983377740962908
绍兴市,06-01_to_08-31,23.052126410974946
绥化市,06-01_to_08-31,16.35147530413117
绵阳市,06-01_to_08-31,17.729778322859595
聊城市,06-01_to_08-31,22.17463805508719
肇庆市,06-01_to_08-31,23.936258285971533
胡杨河市,06-01_to_08-31,20.06870317143009
自贡市,06-01_to_08-31,22.624020055998155
舟山市,06-01_to_08-31,24.533472743432476
芜湖市,06-01_to_08-31,23.68686782731122
苏州市,06-01_to_08-31,24.200251255331736
茂名市,06-01_to_08-31,24.286036732269853
荆州市,06-01_to_08-31,24.217409937038575
荆门市,06-01_to_08-31,23.279360223143037
莆田市,06-01_to_08-31,22.838690861811212
菏泽市,06-01_to_08-31,22.25512069383858
萍乡市,06-01_to_08-31,23.28979187938311
营口市,06-01_to_08-31,19.07995484082917
葫芦岛市,06-01_to_08-31,18.995863584698863
蚌埠市,06-01_to_08-31,23.028274575493263
衡水市,06-01_to_08-31,22.001248596065125
衡阳市,06-01_to_08-31,24.57446720311267
衢州市,06-01_to_08-31,22.675348280241412
襄阳市,06-01_to_08-31,21.651607191667207
西双版纳傣族自治州,06-01_to_08-31,19.689335405019143
西宁市,06-01_to_08-31,5.864014369306994
西安市,06-01_to_08-31,18.058024829424834
许昌市,06-01_to_08-31,22.106651142140684
贵港市,06-01_to_08-31,24.363416093516943
贵阳市,06-01_to_08-31,18.802572976710394
贺州市,06-01_to_08-31,22.931772565656534
资阳市,06-01_to_08-31,22.30258954953387
赣州市,06-01_to_08-31,23.160220253872488
赤峰市,06-01_to_08-31,14.554479129741908
辽源市,06-01_to_08-31,16.93069089249732
辽阳市,06-01_to_08-31,18.52730920292512
达州市,06-01_to_08-31,20.801456560534522
运城市,06-01_to_08-31,19.78889273839283
连云港市,06-01_to_08-31,22.07759505863918
迪庆藏族自治州,06-01_to_08-31,9.068265915730708
通化市,06-01_to_08-31,16.0516927525158
通辽市,06-01_to_08-31,17.374509054419143
遂宁市,06-01_to_08-31,22.42274452064161
遵义市,06-01_to_08-31,19.55949882656589
邢台市,06-01_to_08-31,21.301319876682328
那曲市,06-01_to_08-31,-0.6968737469206944
邯郸市,06-01_to_08-31,21.046471438767718
邵阳市,06-01_to_08-31,22.024702382737836
郑州市,06-01_to_08-31,21.579907498679002
郴州市,06-01_to_08-31,22.73711729719899
鄂尔多斯市,06-01_to_08-31,15.846329151537338
鄂州市,06-01_to_08-31,24.771525282201164
酒泉市,06-01_to_08-31,12.13943518281858
重庆市,06-01_to_08-31,20.76575712851808
金华市,06-01_to_08-31,22.717262696192872
金昌市,06-01_to_08-31,12.230133338388837
钦州市,06-01_to_08-31,24.972823476946875
铁岭市,06-01_to_08-31,18.02867027423157
铁门关市,06-01_to_08-31,18.529931357943564
铜仁市,06-01_to_08-31,20.616246056766485
铜川市,06-01_to_08-31,17.313518436859923
铜陵市,06-01_to_08-31,23.968120838485387
银川市,06-01_to_08-31,16.81874635192762
锡林郭勒盟,06-01_to_08-31,13.441531984180122
锦州市,06-01_to_08-31,19.18163563863428
镇江市,06-01_to_08-31,23.32823670281037
长春市,06-01_to_08-31,17.437110156903948
长沙市,06-01_to_08-31,23.974815125534032
长治市,06-01_to_08-31,16.10186780777006
阜新市,06-01_to_08-31,18.301452645649984
阜阳市,06-01_to_08-31,22.903193984780923
防城港市,06-01_to_08-31,24.353432236206274
阳江市,06-01_to_08-31,24.50600942399762
阳泉市,06-01_to_08-31,16.299782809925016
阿克苏地区,06-01_to_08-31,15.712497538674493
阿勒泰地区,06-01_to_08-31,12.227513675511972
阿坝藏族羌族自治州,06-01_to_08-31,5.588413663581578
阿拉善盟,06-01_to_08-31,17.614456423233012
阿拉尔市,06-01_to_08-31,19.645647688011657
阿里地区,06-01_to_08-31,-1.3451223435521245
陇南市,06-01_to_08-31,14.119008405782598
