region_name,date,temp_max_mean30
白山市,06-01_to_08-31,22.72553997248848
白杨市,06-01_to_08-31,22.627654768607226
白沙黎族自治县,06-01_to_08-31,29.67805480119784
白银市,06-01_to_08-31,24.58231996621014
百色市,06-01_to_08-31,28.092530482664706
益阳市,06-01_to_08-31,29.878894756885245
盐城市,06-01_to_08-31,29.11281206394543
盘锦市,06-01_to_08-31,27.671032650703037
眉山市,06-01_to_08-31,27.404436666575076
石嘴山市,06-01_to_08-31,28.136994180804088
石家庄市,06-01_to_08-31,29.91601977076333
石河子市,06-01_to_08-31,29.747570878951493
神农架林区,06-01_to_08-31,22.946098078329094
福州市,06-01_to_08-31,29.131111884057024
秦皇岛市,06-01_to_08-31,27.476694020665278
红河哈尼族彝族自治州,06-01_to_08-31,24.58312419674383
绍兴市,06-01_to_08-31,30.43712434556303
绥化市,06-01_to_08-31,25.226834324344544
绵阳市,06-01_to_08-31,24.424164480487384
聊城市,06-01_to_08-31,30.990565364252905
肇庆市,06-01_to_08-31,29.8784006189732
胡杨河市,06-01_to_08-31,32.56360073972154
自贡市,06-01_to_08-31,29.4565860119828
舟山市,06-01_to_08-31,26.75645205474978
芜湖市,06-01_to_08-31,30.51169219673216
苏州市,06-01_to_08-31,29.996241398606152
茂名市,06-01_to_08-31,29.955708288099572
荆州市,06-01_to_08-31,30.583906909296775
荆门市,06-01_to_08-31,30.10963514073483
莆田市,06-01_to_08-31,28.76870069674229
菏泽市,06-01_to_08-31,30.77052516631404
萍乡市,06-01_to_08-31,30.235497026458315
营口市,06-01_to_08-31,26.4956738037976
葫芦岛市,06-01_to_08-31,27.126284409166445
蚌埠市,06-01_to_08-31,30.31982764928571
衡水市,06-01_to_08-31,31.105846875573697
衡阳市,06-01_to_08-31,31.55261495677892
衢州市,06-01_to_08-31,30.11179584180629
襄阳市,06-01_to_08-31,28.955441291237964
西双版纳傣族自治州,06-01_to_08-31,26.301831553133884
西宁市,06-01_to_08-31,16.180378981650286
西安市,06-01_to_08-31,26.76492859385014
许昌市,06-01_to_08-31,30.554155079663833
贵港市,06-01_to_08-31,30.418896873434825
贵阳市,06-01_to_08-31,25.610357260491682
贺州市,06-01_to_08-31,28.981897612188117
资阳市,06-01_to_08-31,29.29449716267916
赣州市,06-01_to_08-31,30.27127606090678
赤峰市,06-01_to_08-31,25.26414615257895
辽源市,06-01_to_08-31,25.39980388747316
辽阳市,06-01_to_08-31,26.892121831087298
达州市,06-01_to_08-31,27.906662571237582
运城市,06-01_to_08-31,29.184560507529014
连云港市,06-01_to_08-31,29.229996408013598
迪庆藏族自治州,06-01_to_08-31,16.062057235509464
通化市,06-01_to_08-31,24.394151762156852
通辽市,06-01_to_08-31,27.21339175073843
遂宁市,06-01_to_08-31,29.486229303363135
遵义市,06-01_to_08-31,26.348634636357144
邢台市,06-01_to_08-31,30.51955073610304
那曲市,06-01_to_08-31,10.670705429338113
邯郸市,06-01_to_08-31,30.228313400687604
邵阳市,06-01_to_08-31,28.708977978804455
郑州市,06-01_to_08-31,30.185939191574484
郴州市,06-01_to_08-31,29.55675360761019
鄂尔多斯市,06-01_to_08-31,27.20526585307518
鄂州市,06-01_to_08-31,30.89586058116277
酒泉市,06-01_to_08-31,24.472213715060636
重庆市,06-01_to_08-31,27.607408348095987
金华市,06-01_to_08-31,30.26900182561331
金昌市,06-01_to_08-31,24.235198572893896
钦州市,06-01_to_08-31,30.31387236752555
铁岭市,06-01_to_08-31,26.44346343649136
铁门关市,06-01_to_08-31,31.400398541205664
铜仁市,06-01_to_08-31,27.23775290803609
铜川市,06-01_to_08-31,26.358523330427293
铜陵市,06-01_to_08-31,30.367918593125815
银川市,06-01_to_08-31,28.209490488156614
锡林郭勒盟,06-01_to_08-31,25.00789675033966
锦州市,06-01_to_08-31,27.65501452989031
镇江市,06-01_to_08-31,30.004864454182457
长春市,06-01_to_08-31,26.075665530294692
长沙市,06-01_to_08-31,30.780237843346484
长治市,06-01_to_08-31,25.386745978692794
阜新市,06-01_to_08-31,27.374378170089365
阜阳市,06-01_to_08-31,30.48540297715244
防城港市,06-01_to_08-31,29.41142357745254
阳江市,06-01_to_08-31,29.70378545703532
阳泉市,06-01_to_08-31,25.708266992507795
阿克苏地区,06-01_to_08-31,27.526765196861856
阿勒泰地区,06-01_to_08-31,24.29636568993445
阿坝藏族羌族自治州,06-01_to_08-31,14.374910241269882
阿拉善盟,06-01_to_08-31,29.933868209200217
阿拉尔市,06-01_to_08-31,32.39003028484026
阿里地区,06-01_to_08-31,10.699848358666463
陇南市,06-01_to_08-31,21.96566540331781
陵水黎族自治县,06-01_to_08-31,29.403587638878143
随州市,06-01_to_08-31,29.70867185126469
雅安市,06-01_to_08-31,19.458007302361164
青岛市,06-01_to_08-31,28.21572479665429
鞍山市,06-01_to_08-31,26.570998144243568
韶关市,06-01_to_08-31,29.244303605441146
香港特别行政区,06-01_to_08-31,29.271568529627913
马鞍山市,06-01_to_08-31,30.276380178560792
驻马店市,06-01_to_08-31,30.19824724363417
鸡西市,06-01_to_08-31,24.120195207902146
鹤壁市,06-01_to_08-31,30.648669464969945
鹤岗市,06-01_to_08-31,24.028089280804345
鹰潭市,06-01_to_08-31,31.248510301385142
黄冈市,06-01_to_08-31,29.931366164571056
黄南藏族自治州,06-01_to_08-31,13.957340312949993
黄山市,06-01_to_08-31,29.33012803668383
黄石市,06-01_to_08-31,30.671185701228147
黑河市,06-01_to_08-31,23.384578091772692
黔东南苗族侗族自治州,06-01_to_08-31,27.0862766567026
黔南布依族苗族自治州,06-01_to_08-31,26.093836870354195
黔西南布依族苗族自治州,06-01_to_08-31,26.33126617877757
齐齐哈尔市,06-01_to_08-31,25.608767076046984
龙岩市,06-01_to_08-31,28.999769018651072
