region_name,date,temp_min_anomaly,temp_min_anomaly_threshold,day,day_intensity
鸡西市,2023-05-26,-3.773248322094624,,0,0.0
鹤岗市,2023-05-26,-6.451609261602698,,0,0.0
双鸭山市,2023-05-26,-3.92121808542216,,0,0.0
大庆市,2023-05-26,-6.739136197932931,,0,0.0
伊春市,2023-05-26,-7.594497389043656,,0,0.0
佳木斯市,2023-05-26,-4.461983436577581,,0,0.0
七台河市,2023-05-26,-5.045907326828322,,0,0.0
牡丹江市,2023-05-26,-3.7332276124550425,,0,0.0
黑河市,2023-05-26,-6.87426814038881,,0,0.0
绥化市,2023-05-26,-7.201236936945675,,0,0.0
大兴安岭地区,2023-05-26,-8.572072972088359,,0,0.0
南京市,2023-05-26,-1.7144268960607256,,0,0.0
无锡市,2023-05-26,-2.353006499005545,,0,0.0
徐州市,2023-05-26,-3.092667884754917,,0,0.0
常州市,2023-05-26,-1.649649729066912,,0,0.0
苏州市,2023-05-26,-2.639753271529873,,0,0.0
南通市,2023-05-26,-2.542740490295138,,0,0.0
连云港市,2023-05-26,-2.995328530335243,,0,0.0
淮安市,2023-05-26,-3.244390148666472,,0,0.0
盐城市,2023-05-26,-2.995773246694892,,0,0.0
扬州市,2023-05-26,-2.709575312148104,,0,0.0
镇江市,2023-05-26,-1.7357334518516403,,0,0.0
泰州市,2023-05-26,-2.2602716578503426,,0,0.0
宿迁市,2023-05-26,-3.1908553992570177,,0,0.0
杭州市,2023-05-26,-1.876429958620605,,0,0.0
宁波市,2023-05-26,-2.1335592966271584,,0,0.0
温州市,2023-05-26,-1.3600642911348046,,0,0.0
嘉兴市,2023-05-26,-1.9063322621776884,,0,0.0
湖州市,2023-05-26,-1.3019746808970254,,0,0.0
绍兴市,2023-05-26,-0.7510196078722515,,0,0.0
金华市,2023-05-26,-1.1433534750475438,,0,0.0
