region_name,date,temp_max_anomaly
深圳市,1998-05-25,-5.8105441921790835
珠海市,1998-05-25,-4.247781103475081
汕头市,1998-05-25,-7.758140454437736
佛山市,1998-05-25,-6.344567232965758
江门市,1998-05-25,-5.328386581814993
湛江市,1998-05-25,-4.250599625743508
茂名市,1998-05-25,-4.198492089876488
肇庆市,1998-05-25,-5.202835621315586
惠州市,1998-05-25,-8.135861218533037
梅州市,1998-05-25,-11.154870535235293
汕尾市,1998-05-25,-8.733472899979343
河源市,1998-05-25,-9.938255395065518
阳江市,1998-05-25,-4.573907773048429
清远市,1998-05-25,-6.343551829365442
东莞市,1998-05-25,-6.172939824867129
中山市,1998-05-25,-5.0313701155951875
潮州市,1998-05-25,-8.764427862396683
揭阳市,1998-05-25,-9.471496677534091
云浮市,1998-05-25,-5.545315361828436
三沙市,1998-05-25,
海口市,1998-05-25,-5.467560523820573
三亚市,1998-05-25,-0.6364791429511207
儋州市,1998-05-25,-6.239430817779418
成都市,1998-05-25,-3.045135620482988
自贡市,1998-05-25,-2.293303163634679
攀枝花市,1998-05-25,0.9459177988186376
泸州市,1998-05-25,-2.3765155158147913
德阳市,1998-05-25,-3.210255170592916
绵阳市,1998-05-25,-3.65442602025799
广元市,1998-05-25,-4.715590228625867
遂宁市,1998-05-25,-3.756618206108012
内江市,1998-05-25,-2.4900911653232676
乐山市,1998-05-25,-1.9549867479846696
南充市,1998-05-25,-4.391224815374077
眉山市,1998-05-25,-2.594265420868581
宜宾市,1998-05-25,-1.964465245659163
广安市,1998-05-25,-4.448431558064691
达州市,1998-05-25,-5.036975133769136
雅安市,1998-05-25,-0.5385581893741644
巴中市,1998-05-25,-4.884616776547354
资阳市,1998-05-25,-2.9243016196821294
阿坝藏族羌族自治州,1998-05-25,-0.6954252856348742
甘孜藏族自治州,1998-05-25,-1.7839607968639797
凉山彝族自治州,1998-05-25,1.099016110805941
贵阳市,1998-05-25,-3.490056089437889
六盘水市,1998-05-25,-1.24987114159876
遵义市,1998-05-25,-4.084695666545823
安顺市,1998-05-25,-2.9479319084292435
毕节市,1998-05-25,-0.981060115625894
铜仁市,1998-05-25,-4.873050936770959
黔西南布依族苗族自治州,1998-05-25,-2.0458149941661077
黔东南苗族侗族自治州,1998-05-25,-4.723143151312957
黔南布依族苗族自治州,1998-05-25,-3.210640138068115
昆明市,1998-05-25,-0.05422341894712801
曲靖市,1998-05-25,-0.08803975947835596
玉溪市,1998-05-25,-0.20548840159491988
保山市,1998-05-25,0.7836335742151483
昭通市,1998-05-25,0.5134224618814898
丽江市,1998-05-25,1.4718060261485597
普洱市,1998-05-25,-0.27239414692121855
临沧市,1998-05-25,0.5880385287956074
楚雄彝族自治州,1998-05-25,0.5571167745464436
红河哈尼族彝族自治州,1998-05-25,-0.9360815974782746
文山壮族苗族自治州,1998-05-25,-1.5109088070774206
西双版纳傣族自治州,1998-05-25,-2.989289278318637
大理白族自治州,1998-05-25,0.5167916052117754
德宏傣族景颇族自治州,1998-05-25,0.5912532378155788
怒江傈僳族自治州,1998-05-25,1.0006720463858088
迪庆藏族自治州,1998-05-25,0.8359378712010681
西安市,1998-05-25,-4.868240195212049
铜川市,1998-05-25,-5.711890858136794
宝鸡市,1998-05-25,-3.550045879049531
咸阳市,1998-05-25,-5.6912276174275185
渭南市,1998-05-25,-6.876959461384114
延安市,1998-05-25,-5.739513714276516
汉中市,1998-05-25,-3.8647068294183313
榆林市,1998-05-25,-6.921119763206519
安康市,1998-05-25,-4.005738851552248
商洛市,1998-05-25,-4.477379926348618
兰州市,1998-05-25,-2.8734726935116583
嘉峪关市,1998-05-25,-2.2491997395842347
金昌市,1998-05-25,-3.647577086523942
白银市,1998-05-25,-3.0572720934004884
天水市,1998-05-25,-3.7739068419160517
武威市,1998-05-25,-3.838281255086663
张掖市,1998-05-25,-4.016036419666346
平凉市,1998-05-25,-3.200305526222124
酒泉市,1998-05-25,-3.5912615576580684
庆阳市,1998-05-25,-4.0879827419223105
定西市,1998-05-25,-3.3707997343590854
