region_name,date,temp_min_anomaly_threshold
琼中黎族苗族自治县,06-01,1.0355340673799456
琼海市,06-01,1.1154402458031203
甘南藏族自治州,06-01,-0.35493516585583884
甘孜藏族自治州,06-01,-0.5387656638990669
白城市,06-01,-0.3496164156884933
白山市,06-01,-1.611495662852652
白杨市,06-01,0.34212431277482475
白沙黎族自治县,06-01,1.2695131769154302
白银市,06-01,-0.19008719592904422
百色市,06-01,0.6931605582047575
益阳市,06-01,-0.30162571198494287
盐城市,06-01,-2.3040357012859127
盘锦市,06-01,-1.5764250226185725
眉山市,06-01,0.21454470074996526
石嘴山市,06-01,0.25786270539704764
石家庄市,06-01,-0.19116681695743598
石河子市,06-01,0.17802125475700464
神农架林区,06-01,-0.707738397106371
福州市,06-01,-0.4429314720626983
秦皇岛市,06-01,-1.2735107612248087
红河哈尼族彝族自治州,06-01,0.7498481904422858
绍兴市,06-01,-1.4683874977990017
绥化市,06-01,-0.4696882744668103
绵阳市,06-01,-0.16232183439221748
聊城市,06-01,0.15902003458891803
肇庆市,06-01,-0.03662006096584802
胡杨河市,06-01,0.39967071178198305
自贡市,06-01,0.08601532978362976
舟山市,06-01,-2.9378094447087744
芜湖市,06-01,-1.4570783240626284
苏州市,06-01,-2.0518175683409066
茂名市,06-01,0.44526097161934225
荆州市,06-01,-0.6534239504276689
荆门市,06-01,-0.5283657069331559
莆田市,06-01,-0.14945973199998594
菏泽市,06-01,-0.0565888189847946
萍乡市,06-01,-0.5478401625088561
营口市,06-01,-1.9557804053139094
葫芦岛市,06-01,-0.635758284701721
蚌埠市,06-01,-0.7746560002156945
衡水市,06-01,0.7941766337834321
衡阳市,06-01,-0.18623484162691908
衢州市,06-01,-0.8699254590534813
襄阳市,06-01,-0.5003524253960748
西双版纳傣族自治州,06-01,0.9233314443581883
西宁市,06-01,-0.626372966780807
西安市,06-01,-0.5906195991623602
许昌市,06-01,0.192825434051604
贵港市,06-01,0.16033452851687352
贵阳市,06-01,0.7865386438427218
贺州市,06-01,-0.07620735051089071
资阳市,06-01,-0.07228143415433602
赣州市,06-01,-0.1078939402201819
赤峰市,06-01,0.13213138949300046
辽源市,06-01,-0.6638243645413673
辽阳市,06-01,-1.350402237288243
达州市,06-01,-0.7536657278960222
运城市,06-01,-0.407211083623737
连云港市,06-01,-1.5710180026797018
迪庆藏族自治州,06-01,-0.43848601041404106
