region_name,date,temp_max_anomaly_threshold
忻州市,06-02,2.654265112249357
怀化市,06-02,0.8001010758018677
怒江傈僳族自治州,06-02,1.673656903903701
恩施土家族苗族自治州,06-02,1.122729846233715
惠州市,06-02,0.9966090177270478
成都市,06-02,2.0160155301723903
扬州市,06-02,1.566939675260373
承德市,06-02,3.2999174196846566
抚州市,06-02,0.6275244267014146
抚顺市,06-02,1.93378426522945
拉萨市,06-02,1.32886920544312
揭阳市,06-02,1.0294547561152645
攀枝花市,06-02,4.40388152236632
文山壮族苗族自治州,06-02,2.5359734203894035
文昌市,06-02,1.5011404064944593
新乡市,06-02,3.8735395325396076
新余市,06-02,0.5098466336493294
新星市,06-02,2.263252014891073
无锡市,06-02,0.3062003037941785
日喀则市,06-02,1.0521050849706026
日照市,06-02,2.1763402285869864
昆明市,06-02,2.939392806284059
昆玉市,06-02,2.058801308062577
昌吉回族自治州,06-02,2.5498759767420442
昌江黎族自治县,06-02,1.845507458136223
昌都市,06-02,0.4868519639221605
昭通市,06-02,1.8907597885204321
晋中市,06-02,2.828283051615753
晋城市,06-02,2.782449838474908
普洱市,06-02,4.041166776135069
景德镇市,06-02,0.7970892894310564
曲靖市,06-02,2.616984014009777
朔州市,06-02,3.027121546342058
朝阳市,06-02,4.0842996043960715
本溪市,06-02,1.581430584993292
来宾市,06-02,0.8792865363127327
杭州市,06-02,0.45475428811511037
松原市,06-02,3.1610826116611546
林芝市,06-02,-0.6589295474266755
果洛藏族自治州,06-02,0.5372486334190274
枣庄市,06-02,3.1207143717186487
柳州市,06-02,0.8027904150862455
株洲市,06-02,0.49096075216254925
桂林市,06-02,0.6117417603973667
梅州市,06-02,1.1930336265780308
梧州市,06-02,0.6311967550773738
楚雄彝族自治州,06-02,5.3240285255755175
榆林市,06-02,3.1654377361948596
武威市,06-02,2.1356108970387093
武汉市,06-02,1.1233214425744498
毕节市,06-02,1.9385000606703227
永州市,06-02,0.4828856535044541
汉中市,06-02,1.323487675532563
汕头市,06-02,0.5510477546538863
汕尾市,06-02,0.8215177084523926
江门市,06-02,0.8927619766960072
池州市,06-02,1.003747555338602
沈阳市,06-02,3.057430850421281
沧州市,06-02,3.7504540974046345
河池市,06-02,1.119960704951222
河源市,06-02,1.1203571574113955
泉州市,06-02,0.6462478511773331
泰安市,06-02,3.040242937716388
泰州市,06-02,1.5138828158655706
泸州市,06-02,1.465527322529098
洛阳市,06-02,3.2704821129082005
济南市,06-02,3.049428652611986
济宁市,06-02,3.405261932745001
济源市,06-02,3.5903252459041175
海东市,06-02,1.6776188760069426
海北藏族自治州,06-02,0.2782643431830853
海南藏族自治州,06-02,0.8489031745498272
海口市,06-02,1.7186631882090546
海西蒙古族藏族自治州,06-02,0.2855282819441037
淄博市,06-02,2.906814695070909
淮北市,06-02,3.6031289598168583
淮南市,06-02,2.3890679169394327
淮安市,06-02,1.840459389544886
深圳市,06-02,0.9055432629170559
清远市,06-02,0.6534534027229086
温州市,06-02,-0.07036027163650738
渭南市,06-02,3.637271728860157
湖州市,06-02,0.38169675261102126
